1. DEPTH      = 2, WEIGHT_DECAY = 0.1, 
Epoch 026/100 | train 1.4330 | val 1.6814 | test 1.6432
Epoch 027/100 | train 1.4383 | val 1.5838 | test 1.6185
Epoch 028/100 | train 1.3954 | val 1.6295 | test 1.6680
Epoch 029/100 | train 1.4113 | val 1.5566 | test 1.6083
Epoch 030/100 | train 1.4022 | val 1.5719 | test 1.5751
Epoch 031/100 | train 1.3555 | val 1.5802 | test 1.5965
Epoch 032/100 | train 1.3758 | val 1.5955 | test 1.5907
Epoch 033/100 | train 1.3707 | val 1.5990 | test 1.6103
Epoch 034/100 | train 1.3470 | val 1.5916 | test 1.5666
Epoch 035/100 | train 1.3581 | val 1.5437 | test 1.5974
Epoch 036/100 | train 1.3291 | val 1.5396 | test 1.5706
Epoch 037/100 | train 1.3122 | val 1.5436 | test 1.5633
Epoch 038/100 | train 1.3044 | val 1.5749 | test 1.5812
Epoch 039/100 | train 1.2918 | val 1.5352 | test 1.5916
Epoch 040/100 | train 1.3081 | val 1.5254 | test 1.5921
Epoch 041/100 | train 1.2841 | val 1.4902 | test 1.5769
Epoch 042/100 | train 1.2679 | val 1.5126 | test 1.6196
Epoch 043/100 | train 1.2862 | val 1.5117 | test 1.6029
Epoch 044/100 | train 1.2860 | val 1.5368 | test 1.5669
Epoch 045/100 | train 1.2627 | val 1.5327 | test 1.5760
Epoch 046/100 | train 1.2617 | val 1.5206 | test 1.5694
Epoch 047/100 | train 1.2544 | val 1.5071 | test 1.5693
Epoch 048/100 | train 1.2317 | val 1.5131 | test 1.6439
Epoch 049/100 | train 1.2336 | val 1.5459 | test 1.5997
Epoch 050/100 | train 1.2529 | val 1.5906 | test 1.5926
Epoch 051/100 | train 1.2333 | val 1.5156 | test 1.5687
Epoch 052/100 | train 1.2056 | val 1.5188 | test 1.5952
Epoch 053/100 | train 1.2294 | val 1.5133 | test 1.5688
Epoch 054/100 | train 1.2114 | val 1.5191 | test 1.5919
Epoch 055/100 | train 1.1973 | val 1.5964 | test 1.6062
Epoch 056/100 | train 1.1948 | val 1.4816 | test 1.5627
Epoch 057/100 | train 1.1897 | val 1.4909 | test 1.5960
Epoch 058/100 | train 1.1924 | val 1.5030 | test 1.5927
Epoch 059/100 | train 1.1881 | val 1.4977 | test 1.5830
Epoch 060/100 | train 1.1580 | val 1.5034 | test 1.5835
Epoch 061/100 | train 1.1742 | val 1.4636 | test 1.6052
